municipio,potencial_destinacao_valor,potencial_destinacao_contribuintes,destinacoes_por_localidade_valor,destinacoes_por_localidade_contribuintes,valor_destinado_fundo,quantidade_doacoes_declaradas,percentual_crianca_adolescente,percentual_pessoa_idosa,darfs_pagos_valor,quantidade_doacoes_pagas,data_referencia_declaracoes,data_referencia_darfs,fonte,data_processamento
ITAPETIM,157560.1,204.0,20.86,1.0,588.62,3.0,1.8,98.2,567.76,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723642
ITAPISSUMA,188817.92,677.0,111.3,1.0,4758.83,11.0,0.0,100.0,2841.55,6.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723643
ITAQUITINGA,105375.77,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723645
JABOATAO DOS GUARARAPES,21261967.41,35283.0,318748.26,261.0,137922.57,167.0,43.6,56.4,39631.16,59.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723646
JAQUEIRA,58746.41,158.0,153.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723650
JATAUBA,64352.7,164.0,739.41,2.0,1603.48,6.0,39.7,60.3,1105.79,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723651
JATOBA,132840.02,429.0,5624.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723653
JOAO ALFREDO,180024.66,429.0,4252.52,3.0,946.41,2.0,47.2,52.8,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723654
JOAQUIM NABUCO,36873.95,216.0,278.72,2.0,838.76,2.0,100.0,0.0,838.76,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723655
JUCATI,31487.77,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723656
JUPI,143129.35,265.0,4712.73,3.0,822.07,4.0,100.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723657
JUREMA,50014.73,148.0,1497.38,2.0,7672.19,6.0,100.0,0.0,3108.19,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723658
LAGOA DO CARRO,157629.79,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723660
LAGOA DO ITAENGA,99491.0,360.0,3137.07,3.0,7012.0,14.0,45.5,54.5,5352.95,10.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723662
LAGOA DO OURO,57058.87,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723669
LAGOA DOS GATOS,49398.23,148.0,0.0,0.0,2390.05,2.0,50.0,50.0,2390.05,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723671
LAGOA GRANDE,134197.52,346.0,5286.56,5.0,1660.14,4.0,85.7,14.3,1091.84,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723672
LAJEDO,295713.04,656.0,24887.43,14.0,4666.35,10.0,15.6,84.4,1079.72,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723673
LIMOEIRO,1076963.46,1763.0,29922.16,34.0,69884.63,93.0,66.6,33.4,34332.37,54.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723674
